2021-06-02 17:52:41  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-06-02 17:53:11  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://127.0.0.1:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=63422&release=2.7.2&timestamp=1622627585809, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO ZookeeperRegistry:280 -  [DUBBO] Register: consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url consumer://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, urls: [dubbo://172.26.9.85:20882/com.neu.userserviceapi.service.UserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.neu.userserviceapi.service.UserService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.userserviceapi.service.UserService&methods=getUserById&pid=59809&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622620788811, empty://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=configurators&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766, empty://172.26.9.85/com.neu.userserviceapi.service.UserService?application=coupon-app&category=routers&dubbo=2.0.2&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&pid=63422&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1622627580766], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO AbstractClient:199 -  [DUBBO] Succeed connect to server /172.26.9.85:20882 from NettyClient 172.26.9.85 using dubbo version 2.7.2, channel is NettyChannel [channel=[id: 0xa45cf346, L:/172.26.9.85:52607 - R:/172.26.9.85:20882]], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO AbstractClient:71 -  [DUBBO] Start NettyClient neudeMacBook-Pro.local/172.26.9.85 connect to the server /172.26.9.85:20882, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO AbstractConfig:421 -  [DUBBO] Refer dubbo service com.neu.userserviceapi.service.UserService from url zookeeper://127.0.0.1:2181/org.apache.dubbo.registry.RegistryService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.userserviceapi.service.UserService&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.userserviceapi.service.UserService&lazy=false&methods=getUserById&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627585812%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627585809&pid=63422&register=true&register.ip=172.26.9.85&release=2.7.2&remote.application=user-app&retries=0&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timeout=3000&timestamp=1622627580766, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://127.0.0.1:2181/org.apache.dubbo.metadata.store.MetadataReport, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO ZookeeperMetadataReport:267 -  [DUBBO] store consumer metadata. Identifier : org.apache.dubbo.metadata.identifier.MetadataIdentifier@20a9e7a6; definition: {side=consumer, application=coupon-app, release=2.7.2, methods=getUserById, lazy=false, sticky=false, dubbo=2.0.2, monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627585812%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627585809, interface=com.neu.userserviceapi.service.UserService, generic=false, revision=0.0.1-SNAPSHOT}, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:12  INFO AbstractConfig:112 -  [DUBBO] The service ready on spring started. service: com.neu.couponserviceapi.service.CouponService, dubbo version: 2.7.2, current host: 172.26.9.85
